Date,Type,DoW,05 ~ 06,06 ~ 07,07 ~ 08,08 ~ 09,09 ~ 10,10 ~ 11,11 ~ 12,12 ~ 13,13 ~ 14,14 ~ 15,15 ~ 16,16 ~ 17,17 ~ 18,18 ~ 19,19 ~ 20,20 ~ 21,21 ~ 22,22 ~ 23,23 ~ 24,00 ~ 01,01 ~ 02
2016.2.25,on,Thu,374,693,1921,3177,2497,2335,2932,3772,5330,4708,5364,6486,8132,13567,10640,8313,10596,11196,5399,1045,0
2016.2.25,off,Thu,273,2141,7937,15397,13224,6678,4975,5226,5630,5614,4435,5187,5791,9822,8183,3376,2292,2059,1294,463,0
2016.2.26,on,Fri,384,692,1845,3119,2453,2327,2909,4003,5096,4985,5698,6605,8695,14739,11726,8162,9697,11367,7199,1893,0
2016.2.26,off,Fri,275,2134,7697,15356,12831,6769,5026,4772,6112,5283,5126,5179,6276,11499,11235,4766,3298,2479,1721,853,16
2016.2.27,on,Sat,750,738,714,1024,1455,1914,2779,3766,5300,5248,6194,7254,7863,7229,5281,5062,6405,7410,4046,5,0
2016.2.27,off,Sat,158,812,1687,3835,7111,5681,5116,5999,7491,7479,5825,5832,6929,7130,5156,3414,2672,2162,1668,233,0
2016.2.28,on,Sun,693,632,583,744,1067,1075,1486,2097,2867,3202,3594,3896,4253,4140,3373,3649,4293,4200,1847,0,0
2016.2.28,off,Sun,66,437,684,1432,2980,2485,2786,3755,4516,4091,3498,3988,3899,3651,2544,1966,1614,1163,743,5,0
2016.2.29,on,Mon,278,726,1866,2896,2104,2118,2742,3568,4722,4451,5254,6248,7927,12675,10037,7798,9400,9878,5484,1412,0
2016.2.29,off,Mon,289,2053,7650,14345,11099,5647,4818,4476,6028,5214,4788,4999,5620,8745,8610,4056,2825,2080,1566,623,1
2016.3.1,on,Tue,609,588,494,642,881,957,1357,1745,2447,2644,3046,3826,4406,4382,3833,3954,5295,5139,1995,0,0
2016.3.1,off,Tue,110,724,1137,1995,3320,2724,2959,3775,4360,3891,3497,3647,4109,3705,2625,1868,1448,1066,671,2,0
2016.3.2,on,Wed,240,681,1961,3253,2355,1858,2505,3066,3763,3825,4368,5184,7180,12519,10362,7812,9325,9144,3571,732,0
2016.3.2,off,Wed,300,2043,8266,15001,11658,5056,4010,3455,4855,4101,3925,4019,4952,7997,6765,2912,2101,1583,1004,344,0
2016.3.3,on,Thu,329,706,2097,3184,2380,2245,2635,3162,4472,4192,4764,5399,7411,12617,10027,7718,10160,9838,4397,942,0
2016.3.3,off,Thu,281,2055,8276,15472,12600,5598,4383,3889,5024,4095,4163,4162,5322,8461,7348,3033,2097,1726,1043,452,0
2016.3.4,on,Fri,345,728,1972,3221,2277,2353,2851,3506,4590,4496,5200,5830,7960,13968,11071,8082,9540,11055,6241,1874,3
2016.3.4,off,Fri,314,2209,8166,15515,12596,5768,4397,4266,5105,4630,4475,4683,5997,9884,11331,4523,2973,2507,1738,797,43
2016.3.5,on,Sat,548,682,635,975,1235,1711,2670,3765,5328,5589,5726,6913,7536,6579,4481,4401,5386,6424,3637,52,0
2016.3.5,off,Sat,130,741,1492,3855,7181,5740,4863,5729,7292,6328,5773,5149,6447,6243,3945,2736,2098,1862,1469,161,0
2016.3.6,on,Sun,534,536,528,755,940,1064,1338,1920,2597,3155,3384,3935,4475,4385,3804,3790,4952,4406,1781,0,0
2016.3.6,off,Sun,92,425,651,1509,3189,2478,2955,3863,4757,3978,3427,4072,3780,3936,2768,2403,1632,1144,757,0,0
2016.3.7,on,Mon,223,678,1950,3211,2498,2195,2680,3363,4464,4203,4660,5773,7215,13195,10464,8033,10255,9727,3497,665,0
2016.3.7,off,Mon,318,2490,9199,15919,13559,5672,4243,4044,4651,4063,4004,3970,5276,8140,6921,2899,2082,1626,939,310,6
2016.3.8,on,Tue,289,702,2106,3420,2508,2191,2619,3275,4620,4183,4867,5722,7561,13288,10380,7879,10385,10176,3831,711,0
2016.3.8,off,Tue,308,2298,8594,15829,13251,5965,4407,4060,4658,4185,4021,3973,5200,8851,7244,2923,2182,1716,955,364,1
2016.3.9,on,Wed,273,665,2092,3344,2499,2209,2684,3303,4458,4085,4661,5400,7687,13412,10250,7874,10602,10453,4096,856,2
2016.3.9,off,Wed,301,2285,8391,13212,15263,6118,4408,3586,4956,3911,4111,3806,5105,9676,7569,2934,2154,1656,979,366,7
2016.3.10,on,Thu,300,688,2084,3322,2479,2198,2710,3415,4529,4082,4880,5456,7497,13141,10217,7900,10473,10689,4424,914,1
2016.3.10,off,Thu,277,2191,8482,15865,13075,5573,4201,3702,5113,4180,3787,4245,5112,9223,7858,3188,2116,2012,1235,468,2
2016.3.11,on,Fri,321,728,2027,3179,2498,2311,2792,3464,4725,4512,5203,5861,8457,14525,11454,8115,9184,11458,6949,1655,3
2016.3.11,off,Fri,285,2111,8119,15118,12849,6002,4277,4232,5140,4643,4388,4780,5985,10409,12207,4858,3196,2701,1845,753,65
2016.3.12,on,Sat,650,697,697,1139,1440,1781,2693,3957,5653,5534,6146,7110,8472,7352,5435,5183,6461,7688,3995,7,0
2016.3.12,off,Sat,161,869,1525,3895,7919,5722,5389,6317,8146,6745,5655,5918,7127,7141,5128,3186,2730,2096,1486,253,0
2016.3.13,on,Sun,555,677,535,747,1028,1049,1447,1898,2799,3108,3176,3761,4465,4434,3620,3844,4605,4257,1654,0,0
2016.3.13,off,Sun,90,392,715,1458,2980,2644,2875,3616,5051,4007,3466,3458,4169,3714,2736,1970,1520,1085,706,2,0
2016.3.14,on,Mon,242,688,1910,3193,2634,2113,2748,3274,4336,4092,4614,5414,7467,13467,10986,8296,10378,9685,3479,676,0
2016.3.14,off,Mon,312,2324,8904,15895,13075,6113,4125,3760,4687,4230,3886,3811,5375,8802,7599,3050,2295,1647,950,317,0
2016.3.15,on,Tue,301,753,2004,3369,2508,2079,2699,3183,4443,4167,4759,5556,7123,13288,10226,7937,10454,10015,4016,726,0
2016.3.15,off,Tue,289,2302,8829,16162,12765,5793,4181,3885,4685,3954,3692,3883,5133,8697,7569,2936,2204,1633,1092,346,0
2016.3.16,on,Wed,307,670,1996,3298,2668,2473,2809,3580,4381,3983,4744,5342,7748,13468,9862,7811,10393,10544,4326,805,0
2016.3.16,off,Wed,299,2235,8762,15218,12762,6152,4442,3647,4810,4083,3766,4063,5019,9260,8041,2982,2201,1830,1062,382,0
2016.3.17,on,Thu,292,710,1964,3321,2542,2166,2651,3384,4625,4222,4768,5510,7313,13284,9975,7944,10330,10472,4492,1008,0
2016.3.17,off,Thu,269,2215,8328,15519,13035,5954,4464,3977,4945,4039,3650,3982,5329,9122,8300,3073,2287,1994,1217,433,30
2016.3.18,on,Fri,361,714,1930,3186,2511,2201,2793,3634,4769,4489,5059,5996,8193,14093,10852,8214,9332,11488,6984,1781,0
2016.3.18,off,Fri,306,2086,7996,14922,12738,6091,4250,3905,5121,4711,4400,5008,5999,11252,11785,5078,3166,2600,2016,975,2
2016.3.19,on,Sat,764,725,781,1140,1517,2001,2873,4346,5922,5829,6438,7301,8381,7521,5236,5126,6514,7834,4193,48,0
2016.3.19,off,Sat,193,919,1608,3939,7786,5949,5474,6682,7991,6913,5767,6018,7542,7612,5465,3767,2834,2535,1705,286,0
2016.3.20,on,Sun,773,704,536,823,1172,1198,1700,2498,3064,3129,3361,4184,4497,4231,3669,3939,4780,4368,1705,1,0
2016.3.20,off,Sun,103,477,864,1726,3534,2880,3072,4336,4959,4281,3703,4126,4096,3762,2649,2035,1595,1344,614,126,0
2016.3.21,on,Mon,237,722,1973,3235,2493,2004,2675,3279,4394,3967,4671,5715,7139,12948,10355,7771,9886,9220,3376,630,0
2016.3.21,off,Mon,295,2359,8447,16038,12715,6115,4230,3603,4733,3896,3755,3567,5160,8058,6676,2883,2164,1608,1026,359,0
2016.3.22,on,Tue,292,709,2052,3376,2463,2227,2739,3284,4482,4013,4704,5488,7180,13090,10078,7683,10059,9683,3729,642,0
2016.3.22,off,Tue,301,2321,8070,15780,12726,5888,4447,3633,4683,3788,3818,3849,5200,8519,7260,2962,2216,1860,1013,488,4
2016.3.23,on,Wed,306,736,2009,3404,2537,2110,2658,3293,4453,3998,4559,5535,7513,13339,10033,7649,10326,10376,4144,831,0
2016.3.23,off,Wed,281,2186,7792,15553,13036,5982,4258,3794,4781,4077,3944,3815,5180,9162,8062,3054,2253,1922,1170,376,2
2016.3.24,on,Thu,311,741,1984,3382,2483,2177,2718,3195,4434,4230,4713,5515,7456,12814,10073,7778,10450,10034,4544,921,0
2016.3.24,off,Thu,295,2191,7564,15986,12537,5914,4558,3620,4787,4186,3548,4102,5260,8880,8002,3081,2318,2214,1209,475,0
2016.3.25,on,Fri,334,739,2001,3165,2348,2149,2947,3469,4716,4422,5094,6025,7993,14292,11207,7914,9568,10966,6992,1840,0
2016.3.25,off,Fri,277,2101,7202,15541,12351,6130,4548,3790,5026,4792,4393,4782,6241,11107,11354,5113,3290,2794,1830,877,1
2016.3.26,on,Sat,686,744,711,1223,1612,1939,3001,4295,6026,5627,5998,7373,7941,7096,5309,5187,6765,7356,4093,14,0
2016.3.26,off,Sat,191,886,1579,4004,7434,5961,5467,6360,8084,6946,5623,6166,7094,7585,4801,3453,2915,2347,1542,259,0
2016.3.27,on,Sun,600,638,543,776,1122,1167,1678,2300,3022,3095,3453,3907,4496,4573,3880,4191,4973,4535,1677,0,0
2016.3.27,off,Sun,77,470,779,1654,3212,2626,2836,3846,4950,4327,3628,4208,4173,4114,2944,1987,1670,1236,765,11,0
2016.3.28,on,Mon,270,698,1907,3214,2504,2109,2753,3192,4136,3958,4571,5400,6809,12682,10429,7540,9897,9005,3431,602,0
2016.3.28,off,Mon,320,2206,7858,15932,13039,5302,4067,3779,4384,4344,3793,3857,4859,7906,6934,3107,2094,1691,984,351,0
2016.3.29,on,Tue,292,749,2112,3337,2496,2050,2454,3051,4291,4059,4560,5288,7326,12885,9601,7280,9607,9475,3843,733,0
2016.3.29,off,Tue,293,2176,7460,15567,12620,5529,4327,3729,4588,3912,3639,3657,5150,8237,7353,2841,2104,1829,1019,315,0
2016.3.30,on,Wed,337,726,2106,3264,2428,2092,2507,3099,4178,3879,4510,5102,7167,12910,10015,7643,10128,10012,4388,889,0
2016.3.30,off,Wed,289,2064,7163,15366,12332,5573,4202,3495,4746,4224,3824,3901,5225,9006,8049,3108,2188,1928,1121,430,0
2016.3.31,on,Thu,355,701,1927,3234,2452,2150,2500,2922,3996,3827,4383,4924,6770,11755,9749,7529,9555,9999,4801,1073,0
2016.3.31,off,Thu,271,1938,7099,15057,11441,5271,4313,3556,4302,4061,3665,4004,5229,8382,7893,3219,2423,2186,1198,505,0
