Seq,Chest,Height,Waist,Head,Foot,Weight
30366,91.700,178.900,86.700,58.200,27.700,68.400
30367,107.400,178.600,99.500,59.400,28.200,91.300
30368,96.600,178.500,85.600,58.200,26.800,74.700
30369,98.300,170.300,84.200,60.400,25.000,75.000
30370,95.700,180.600,94.600,60.800,24.200,69.800
30371,96.400,179.600,85.200,59.300,27.100,74.200
30372,107.900,172.400,101.800,57.700,26.200,88.200
30373,93.600,179.200,75.200,55.800,26.500,62.600
30374,106.000,173.200,99.500,58.300,28.300,90.100
30375,105.000,169.600,94.200,61.300,25.800,75.600
30376,91.500,176.600,82.400,56.400,26.200,67.000
30377,92.900,176.900,83.900,57.700,25.900,67.100
30378,102.200,181.800,94.600,57.000,28.000,81.200
30379,98.000,171.800,92.100,60.900,26.100,74.500
30380,90.800,171.700,86.400,57.500,26.500,62.000
30381,107.200,168.600,98.600,60.000,25.600,86.100
30382,88.500,187.000,93.800,60.000,27.700,78.000
30383,90.800,171.700,80.100,56.000,26.700,61.500
30384,94.300,177.100,85.900,57.500,26.800,72.700
30385,87.000,168.200,81.600,54.600,25.200,62.200
30386,96.900,179.100,85.000,58.600,27.000,69.800
30387,86.000,176.400,77.000,57.700,25.800,59.900
30388,93.400,176.400,88.900,59.800,27.400,66.400
30389,87.200,173.800,74.400,58.300,25.500,56.300
30390,93.300,171.800,84.100,59.200,27.900,66.500
30391,108.500,175.700,106.100,59.900,26.100,90.500
30392,84.000,171.900,69.700,55.900,27.100,54.100
30393,98.100,174.600,97.500,62.700,25.100,80.700
30394,97.000,179.100,85.600,59.800,27.500,76.500
30395,98.000,177.700,92.400,62.800,28.000,74.700
30396,94.600,182.800,90.200,61.500,28.300,76.300
30397,89.300,175.900,76.900,55.500,27.100,61.700
30398,100.000,167.300,93.000,56.300,25.200,73.200
30399,97.300,179.800,87.800,58.700,26.700,74.700
30400,103.100,181.100,90.900,55.100,27.400,81.100
30401,88.500,171.800,86.400,56.800,28.100,65.100
30402,97.300,170.500,83.600,56.200,25.600,70.200
30403,89.100,175.800,76.000,60.200,28.100,60.300
30404,102.500,177.700,80.900,54.600,27.300,74.000
30405,96.000,181.000,81.600,60.300,26.300,65.700
30406,105.700,177.700,97.100,56.800,26.900,91.500
30407,85.000,174.300,70.700,55.800,26.200,53.200
30408,96.500,173.700,78.100,59.500,24.900,66.400
30409,89.900,176.800,75.800,60.000,27.700,58.400
30410,109.200,170.900,86.300,59.200,26.000,67.600
30411,96.800,173.500,91.400,60.900,26.800,81.300
30412,90.800,172.200,82.100,59.900,25.800,62.000
30413,102.800,174.600,94.700,57.900,25.300,73.600
30414,96.700,170.600,87.500,57.900,24.500,73.100
30415,81.600,171.900,71.400,57.300,26.400,54.300
30416,94.200,176.100,84.100,57.900,27.100,74.700
30417,89.900,177.100,77.600,60.400,27.600,69.000
30418,102.100,171.800,100.500,59.700,27.000,85.300
30419,80.800,169.100,81.200,56.000,24.700,64.200
30420,85.600,175.800,73.300,54.900,24.500,57.400
30421,96.000,170.100,87.300,60.100,26.600,71.900
30422,87.400,175.100,73.300,54.900,30.300,59.200
30423,85.200,176.600,72.700,57.600,24.900,56.700
30424,94.100,171.900,88.400,59.600,27.500,60.900
30425,89.300,176.900,76.500,57.700,27.600,61.100
30426,94.300,162.600,83.900,59.800,24.800,65.800
30427,85.500,171.300,72.900,57.900,25.800,51.200
30428,96.400,183.300,91.900,54.600,27.500,78.300
30429,83.900,164.300,75.500,56.100,25.000,54.800
30430,84.300,176.200,80.200,55.800,26.800,62.400
30431,97.900,166.800,81.100,57.000,23.900,70.800
30432,107.800,182.600,103.500,56.500,27.900,95.800
30433,85.500,176.400,78.200,58.100,25.700,65.700
30434,105.700,177.400,97.600,56.700,27.100,83.300
30435,89.600,182.000,83.900,59.600,28.100,66.000
30436,108.600,176.800,95.800,61.300,26.100,90.800
30437,94.400,178.500,88.600,58.800,26.700,69.900
30438,96.600,173.200,84.700,57.400,26.100,72.400
30439,94.200,170.700,82.600,61.900,27.500,64.900
30440,87.700,171.200,79.700,54.600,26.300,58.800
30441,96.500,177.400,85.500,57.100,27.400,68.000
30442,110.800,175.000,93.800,57.800,27.000,86.800
30443,88.700,169.700,83.700,57.400,25.800,63.000
30444,102.900,172.000,99.400,55.600,26.600,83.700
30445,110.600,178.800,106.500,58.000,28.500,98.000
30446,89.300,171.400,74.000,54.300,27.200,56.700
30447,93.600,165.900,88.700,58.500,25.000,67.500
30448,87.600,176.300,84.100,60.600,26.000,60.900
30449,96.900,166.100,90.900,59.800,26.000,77.500
30450,104.900,177.000,88.400,58.200,25.700,82.100
30451,92.000,173.700,75.600,61.400,25.800,68.900
30452,92.100,167.500,81.000,57.800,25.300,64.500
30453,87.800,168.700,77.100,57.800,25.000,61.900
30454,89.900,177.900,83.500,57.500,25.300,64.000
30455,91.400,166.500,80.100,57.500,25.800,57.000
